author_type,floor,floors_count,rooms_count,total_meters,price,district,street,underground,coordinates_of_underground
real_estate_agent,10,14,1,65.2,35000000.0,Мещанский, Гиляровского,Проспект Мира,"(55.779584, 37.633646)"
developer,18,41,1,37.7,24335267.0,Даниловский,Дубининская ,Павелецкая,"(55.729741, 37.638693)"
real_estate_agent,23,23,1,54.0,29000000.0,Хорошево-Мневники, Нижние Мневники,Терехово ,"(55.748108, 37.459738)"
developer,2,14,1,30.45,29201550.0,Дорогомилово,1-й Можайский тупик,Киевская,"(55.743117, 37.564132)"
real_estate_agent,4,14,1,45.0,25750000.0,Раменки,проспект Генерала Дорохова,Минская,"(55.723947, 37.497872)"
real_estate_agent,37,37,1,48.0,40000000.0,Хорошевский,Ленинградский проспект,Аэропорт,"(55.800441, 37.530477)"
real_estate_agent,4,26,1,46.0,32000000.0,Очаково-Матвеевское,Нежинская ,Давыдково,"(55.71517, 37.45177)"
developer,2,20,1,42.3,21645206.0,Филевский парк,Береговой проезд,Народное Ополчение,"(55.775697, 37.485071)"
real_estate_agent,18,48,1,42.4,19450000.0,Хорошево-Мневники, Народного Ополчения,Народное Ополчение,"(55.775697, 37.485071)"
real_estate_agent,4,46,1,39.7,19000000.0,Обручевский, Академика Волгина,Калужская,"(55.656682, 37.540075)"
homeowner,9,30,1,38.0,14000000.0,Южнопортовый,Волгоградский проспект,Волгоградский проспект,"(55.725546, 37.685197)"
developer,40,54,1,29.14,18798622.0,Савеловский,2-я Хуторская ,Дмитровская,"(55.808056, 37.581734)"
real_estate_agent,4,9,1,30.1,12200000.0,Перово,2-я Владимирская ,Перово,"(55.75098, 37.78422)"
realtor,2,9,1,34.0,11550000.0,Орехово-Борисово Южное,Воронежская ,Домодедовская,"(55.610131, 37.717111)"
developer,2,54,1,36.06,20713585.0,Хорошево-Мневники, Мневники,Полежаевская,"(55.777201, 37.517895)"
real_estate_agent,5,16,1,38.9,11300000.0,Отрадное,Алтуфьевское шоссе,Владыкино,"(55.847222, 37.591944)"
developer,5,24,1,58.2,25537891.0,Нагатинский затон,проспект Андропова,Технопарк,"(55.695, 37.664167)"
homeowner,5,14,1,34.6,13650000.0,Нагорный,Ялтинская ,Севастопольская,"(55.651451, 37.59809)"
developer,8,14,1,44.6,25870000.0,Раменки,проспект Генерала Дорохова,Ломоносовский проспект,"(55.70706, 37.516063)"
