author_type,floor,floors_count,rooms_count,total_meters,price,district,street,underground,lons,lats
Агент по недвижимости,10,14,1,65.2,35.0,Мещанский, Гиляровского,Проспект Мира,37.633646,55.779584
Застройщик,18,41,1,37.7,24.34,Даниловский,Дубининская ,Павелецкая,37.638693,55.729741
Агент по недвижимости,23,23,1,54.0,29.0,Хорошево-Мневники, Нижние Мневники,Терехово ,37.459738,55.748108
Застройщик,2,14,1,30.45,29.2,Дорогомилово,1-й Можайский тупик,Киевская,37.564132,55.743117
Агент по недвижимости,4,14,1,45.0,25.75,Раменки,проспект Генерала Дорохова,Минская,37.497872,55.723947
Агент по недвижимости,37,37,1,48.0,40.0,Хорошевский,Ленинградский проспект,Аэропорт,37.530477,55.800441
Агент по недвижимости,4,26,1,46.0,32.0,Очаково-Матвеевское,Нежинская ,Давыдково,37.45177,55.71517
Застройщик,2,20,1,42.3,21.65,Филевский парк,Береговой проезд,Народное Ополчение,37.485071,55.775697
Агент по недвижимости,18,48,1,42.4,19.45,Хорошево-Мневники, Народного Ополчения,Народное Ополчение,37.485071,55.775697
Агент по недвижимости,4,46,1,39.7,19.0,Обручевский, Академика Волгина,Калужская,37.540075,55.656682
Владелец,9,30,1,38.0,14.0,Южнопортовый,Волгоградский проспект,Волгоградский проспект,37.685197,55.725546
Застройщик,40,54,1,29.14,18.8,Савеловский,2-я Хуторская ,Дмитровская,37.581734,55.808056
Агент по недвижимости,4,9,1,30.1,12.2,Перово,2-я Владимирская ,Перово,37.78422,55.75098
Риэлтор,2,9,1,34.0,11.55,Орехово-Борисово Южное,Воронежская ,Домодедовская,37.717111,55.610131
Застройщик,2,54,1,36.06,20.71,Хорошево-Мневники, Мневники,Полежаевская,37.517895,55.777201
Агент по недвижимости,5,16,1,38.9,11.3,Отрадное,Алтуфьевское шоссе,Владыкино,37.591944,55.847222
Застройщик,5,24,1,58.2,25.54,Нагатинский затон,проспект Андропова,Технопарк,37.664167,55.695
Владелец,5,14,1,34.6,13.65,Нагорный,Ялтинская ,Севастопольская,37.59809,55.651451
Застройщик,8,14,1,44.6,25.87,Раменки,проспект Генерала Дорохова,Ломоносовский проспект,37.516063,55.70706
Владелец,1,12,1,16.0,4.99,Люблино,Краснодарская ,Люблино,37.761639,55.676596
Официальный представитель,12,12,1,39.0,9.75,Гольяново,Уральская ,Щёлковская,37.798261,55.809962
Застройщик,3,36,1,40.8,28.06,Беговой,Ленинградский проспект,Белорусская,37.582107,55.777439
Риэлтор,45,52,1,43.1,25.75,Хорошево-Мневники, Народного Ополчения,Народное Ополчение,37.485071,55.775697
Застройщик,24,26,1,42.45,36.26,Пресненский,к2.2,Белорусская,37.582107,55.777439
Агент по недвижимости,5,5,1,30.0,10.0,Хорошевский, Куусинена,Полежаевская,37.517895,55.777201
Застройщик,2,16,1,40.9,17.3,Преображенское,Жилой комплекс Преображенская площадь,Преображенская площадь,37.713582,55.796322
Агент по недвижимости,4,12,1,38.7,12.75,Нагатино-Садовники,Коломенский проезд,Каширская,37.647639,55.654462
Застройщик,2,19,1,42.7,22.19,Покровское-Стрешнево,Северо-Западный ао,Спартак,37.4352,55.8182
Агент по недвижимости,3,12,1,35.0,10.1,Западное Дегунино, Ивана Сусанина,Моссельмаш,37.526389,55.862222
Застройщик,18,25,1,40.26,23.23,Нагатино-Садовники,Нагатинская ,Нагатинская,37.620917,55.682099
Агент по недвижимости,15,30,1,37.5,14.5,Южнопортовый,Волгоградский проспект,Угрешская,37.697778,55.718333
Застройщик,8,57,1,44.4,18.62,Левобережный,Ленинградское шоссе,Беломорская,37.475692,55.865369
Агент по недвижимости,3,32,1,35.0,19.0,Хорошево-Мневники,Причальный проезд,Шелепиха,37.524067,55.757116
Застройщик,4,15,1,32.6,18.29,Останкинский,проспект Мира,Алексеевская,37.638699,55.807794
Агент по недвижимости,12,14,1,54.5,35.7,Пресненский, Малая Грузинская,Краснопресненская,37.577114,55.760378
Застройщик,2,21,1,37.76,20.49,Марфино, Академика Королева,Телецентр,37.608975,55.821795
Риэлтор,4,9,1,35.0,17.5,Таганский,Воронцовская ,Крестьянская застава,37.665325,55.732278
Застройщик,15,27,1,45.1,20.3,Басманный, Фридриха Энгельса,Бауманская,37.67904,55.772405
Агент по недвижимости,5,29,1,36.3,13.6,Богородское,Открытое шоссе,Бульвар Рокоссовского,37.732227,55.814916
Застройщик,6,22,1,30.7,16.05,Марьина роща,Полковая ,Савёловская,37.587163,55.794054
Застройщик,12,13,1,39.8,25.15,Даниловский,Подольское шоссе,Тульская,37.622569,55.70961
Агент по недвижимости,3,12,1,35.0,9.7,Марьино,Перервинский бульвар,Братиславская,37.748415,55.658817
Застройщик,4,21,1,53.11,28.79,Беговой, 1-я Ямского Поля,Белорусская,37.582107,55.777439
Риэлтор,6,12,1,33.0,10.7,Строгино, Исаковского,Строгино,37.402405,55.803831
Застройщик,12,13,1,48.6,32.61,Арбат, Новый Арбат,Смоленская,37.583802,55.747713
Агент по недвижимости,8,18,1,38.2,17.0,Даниловский,проспект Лихачева,Технопарк,37.664167,55.695
Застройщик,24,75,1,41.62,21.94,Донской,5-й Донской проезд,Площадь Гагарина,37.585833,55.706944
Агент по недвижимости,21,22,1,38.5,15.0,Южное Тушино,бульвар Яна Райниса,Сходненская,37.44076,55.84926
Застройщик,2,24,1,43.5,17.77,Очаково-Матвеевское,Мичуринский проспект,Озёрная,37.4495,55.6698
Агент по недвижимости,2,2,1,31.4,9.8,Текстильщики,Грайвороновская ,Текстильщики,37.728406,55.707725
Застройщик,25,27,1,24.1,11.21,Щукино, Берзарина,Щукинская,37.463241,55.8094
Агент по недвижимости,2,2,1,28.7,9.5,Текстильщики,Грайвороновская ,Текстильщики,37.728406,55.707725
Агент по недвижимости,3,19,1,31.3,19.8,Басманный,Малая Почтовая ,Бауманская,37.67904,55.772405
Агент по недвижимости,11,21,1,43.6,18.0,Филевский парк,Береговой проезд,Фили,37.514035,55.746763
Агент по недвижимости,15,17,1,38.0,11.8,Вешняки,аллея Жемчуговой,Новогиреево,37.814587,55.752237
Застройщик,4,39,1,39.6,15.51,Западное Дегунино,Северный ао,Селигерская,37.547117,55.866556
Агент по недвижимости,7,24,1,49.0,23.0,Хорошево-Мневники, Народного Ополчения,Народное Ополчение,37.485071,55.775697
Застройщик,2,15,1,28.3,10.54,Головинский,Северный ао,Коптево,37.520037,55.839637
Агент по недвижимости,13,15,1,35.4,17.6,Даниловский, Родченко,ЗИЛ,37.648333,55.698333
