author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Мангазея,developer,https://www.cian.ru/sale/flat/301581644/,Москва,sale,flat,-1,-1,-1,1.0,-1,0,25544778,Щукино,Щукинская ,3,Щукинская,Интонация
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300932847/,Москва,sale,flat,10,14,1,65.2,-1,0,35000000,Мещанский, Гиляровского,50,Проспект Мира,
MR Group,developer,https://www.cian.ru/sale/flat/299093496/,Москва,sale,flat,18,41,1,37.7,-1,0,24335267,Даниловский,Дубининская ,59к7,Павелецкая,Павелецкая Сити
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/298474072/,Москва,sale,flat,23,23,1,54.0,-1,0,29000000,Хорошево-Мневники, Нижние Мневники,9,Терехово ,Остров
ЭЛИТА-ЭКО,developer,https://www.cian.ru/sale/flat/292406316/,Москва,sale,flat,2,14,1,30.45,-1,0,29201550,Дорогомилово,1-й Можайский тупик,8АС1,Киевская,D'ORO MILLE
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/292787122/,Москва,sale,flat,4,14,1,45.0,-1,0,25750000,Раменки,проспект Генерала Дорохова,39к1В,Минская,Собрание клубных домов West Garden
Tekta Group,developer,https://www.cian.ru/sale/flat/301260582/,Москва,sale,flat,14,27,1,28.1,-1,0,19203540,Даниловский,,,Серпуховская,Era
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301478863/,Москва,sale,flat,37,37,1,48.0,-1,0,40000000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/299934983/,Москва,sale,flat,3,13,1,56.33,-1,0,24914759,,,В21 кв-л,Опалиха,Сберсити ЖК
Unique,real_estate_agent,https://www.cian.ru/sale/flat/287678758/,Москва,sale,flat,4,26,1,46.0,-1,0,32000000,Очаково-Матвеевское,Нежинская ,5к2,Давыдково,Городские резиденции SPIRES
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/299137613/,Москва,sale,flat,4,12,1,45.87,-1,0,22499235,,,В19 кв-л,Павшино,Сберсити ЖК
ID 57545487,unknown,https://www.cian.ru/sale/flat/301314063/,Москва,sale,flat,10,16,1,38.8,-1,0,14400000,, Лобановский Лес,13,Прокшино,Прокшино
Главстрой,developer,https://www.cian.ru/sale/flat/298342641/,Москва,sale,flat,2,20,1,42.3,-1,0,21645206,Филевский парк,Береговой проезд,2,Народное Ополчение,Береговой-2
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/293760838/,Москва,sale,flat,18,48,1,42.4,-1,0,19450000,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers
Tekta Group,developer,https://www.cian.ru/sale/flat/301266367/,Москва,sale,flat,4,34,1,30.0,-1,0,15219000,Обручевский,,,Воронцовская,Эвер ЖК
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/298087113/,Москва,sale,flat,4,46,1,39.7,-1,0,19000000,Обручевский, Академика Волгина,2С2,Калужская,Архитектор
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/298849163/,Москва,sale,flat,3,10,1,45.5,-1,0,23132200,,,В14 кв-л,Павшино,Сберсити ЖК
ID 115757863,homeowner,https://www.cian.ru/sale/flat/301203125/,Москва,sale,flat,9,30,1,38.0,-1,0,14000000,Южнопортовый,Волгоградский проспект,32/5к1,Волгоградский проспект,
MR Group,developer,https://www.cian.ru/sale/flat/300288766/,Москва,sale,flat,40,54,1,29.14,-1,0,18798622,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34
ID 73038306,real_estate_agent,https://www.cian.ru/sale/flat/301616082/,Москва,sale,flat,4,9,1,30.1,-1,0,12200000,Перово,2-я Владимирская ,3,Перово,
ID 112819123,developer,https://www.cian.ru/sale/flat/300968912/,Москва,sale,flat,11,40,1,36.2,-1,0,16966940,Щукино,,,Стрешнево,Моментс ЖК
Елена Медведева,realtor,https://www.cian.ru/sale/flat/301631875/,Москва,sale,flat,2,9,1,34.0,-1,0,11550000,Орехово-Борисово Южное,Воронежская ,22К2,Домодедовская,
MR Group,developer,https://www.cian.ru/sale/flat/300583268/,Москва,sale,flat,2,54,1,36.06,-1,0,20713585,Хорошево-Мневники, Мневники,,Полежаевская,JOIS
